[2024-05-15 10:34:23] | URL : http://localhost:81/hr-attedance/public/jampack/dist/js/feather.min.js.map | 404 | Duration : 0.58ms 
[2024-05-15 10:34:27] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/leaflet/leaflet.js.map | 404 | Duration : 2.65ms 
[2024-05-15 10:34:38] | URL : http://127.0.0.1:9000/dashboard | 200 | Duration : 1.50ms 
[2024-05-15 10:34:40] | URL : http://127.0.0.1:9000/dashboard | 200 | Duration : 0.79ms 
[2024-05-15 10:34:42] | URL : http://127.0.0.1:9000/public/firebaseConfig.js | 404 | Duration : 0.46ms 
[2024-05-15 10:34:43] | URL : http://127.0.0.1:9000/public/uploads/logo/1712268893_faviconbapas.png | 404 | Duration : 0.71ms 
[2024-05-15 10:34:45] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/core.js.map | 404 | Duration : 0.39ms 
[2024-05-15 10:34:45] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/maps.js.map | 404 | Duration : 0.39ms 
[2024-05-15 10:34:46] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldLow.js.map | 404 | Duration : 0.37ms 
[2024-05-15 10:34:46] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldHigh.js.map | 404 | Duration : 0.37ms 
[2024-05-15 10:34:47] | URL : http://localhost:81/hr-attedance/public/jampack/dist/js/feather.min.js.map | 404 | Duration : 0.34ms 
[2024-05-15 10:34:49] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/core.js.map | 404 | Duration : 0.35ms 
[2024-05-15 10:34:49] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldLow.js.map | 404 | Duration : 0.35ms 
[2024-05-15 10:34:49] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/maps.js.map | 404 | Duration : 0.50ms 
[2024-05-15 10:34:50] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldHigh.js.map | 404 | Duration : 0.49ms 
[2024-05-15 10:34:50] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/leaflet/leaflet.js.map | 404 | Duration : 0.32ms 
[2024-05-15 10:34:51] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/maps.js.map | 404 | Duration : 0.41ms 
[2024-05-15 10:34:51] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/core.js.map | 404 | Duration : 0.43ms 
[2024-05-15 10:34:51] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldLow.js.map | 404 | Duration : 0.40ms 
[2024-05-15 10:34:51] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldHigh.js.map | 404 | Duration : 0.43ms 
[2024-05-15 10:34:52] | URL : http://127.0.0.1:9000/dashboard-statstik-payroll | 200 | Duration : 0.49ms 
[2024-05-15 10:34:53] | URL : http://127.0.0.1:9000/dashboard-datatable | 200 | Duration : 0.25ms 
[2024-05-15 10:39:17] | URL : http://127.0.0.1:9000/dashboard | 200 | Duration : 2.47ms 
[2024-05-15 10:39:19] | URL : http://127.0.0.1:9000/public/uploads/logo/1712268893_faviconbapas.png | 404 | Duration : 0.73ms 
[2024-05-15 10:39:20] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/core.js.map | 404 | Duration : 0.85ms 
[2024-05-15 10:39:20] | URL : http://127.0.0.1:9000/public/firebaseConfig.js | 404 | Duration : 0.71ms 
[2024-05-15 10:39:20] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldLow.js.map | 404 | Duration : 0.80ms 
[2024-05-15 10:39:20] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/maps.js.map | 404 | Duration : 0.79ms 
[2024-05-15 10:39:22] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldHigh.js.map | 404 | Duration : 0.52ms 
[2024-05-15 10:39:23] | URL : http://127.0.0.1:9000/dashboard-statstik-payroll | 200 | Duration : 0.60ms 
[2024-05-15 10:39:24] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/maps.js.map | 404 | Duration : 0.49ms 
[2024-05-15 10:39:24] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/core.js.map | 404 | Duration : 0.52ms 
[2024-05-15 10:39:24] | URL : http://localhost:81/hr-attedance/public/jampack/dist/js/feather.min.js.map | 404 | Duration : 0.63ms 
[2024-05-15 10:39:24] | URL : http://127.0.0.1:9000/dashboard-datatable | 200 | Duration : 0.87ms 
[2024-05-15 10:39:25] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldHigh.js.map | 404 | Duration : 0.35ms 
[2024-05-15 10:39:25] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/leaflet/leaflet.js.map | 404 | Duration : 0.34ms 
[2024-05-15 10:39:25] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldLow.js.map | 404 | Duration : 0.48ms 
[2024-05-15 10:39:26] | URL : http://127.0.0.1:9000/telescope | 200 | Duration : 0.24ms 
[2024-05-15 10:39:27] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/maps.js.map | 404 | Duration : 0.44ms 
[2024-05-15 10:39:27] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4/core.js.map | 404 | Duration : 0.48ms 
[2024-05-15 10:39:27] | URL : http://127.0.0.1:9000/telescope | 200 | Duration : 0.14ms 
[2024-05-15 10:39:27] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldLow.js.map | 404 | Duration : 0.45ms 
[2024-05-15 10:39:28] | URL : http://localhost:81/hr-attedance/public/jampack/vendors/@amcharts/amcharts4-geodata/worldHigh.js.map | 404 | Duration : 0.45ms 
[2024-05-15 10:39:28] | URL : http://localhost:81/hr-attedance/public/jampack/vendor/telescope/app.js | 404 | Duration : 0.38ms 

[2024-05-15 10:39:29] | URL : http://localhost:81/hr-attedance/public/jampack/vendor/telescope/favicon.ico | 404 | Duration : 0.38ms 
[2024-05-15 10:40:09] | URL : http://127.0.0.1:9000/telescope | 200 | Duration : 0.10ms 
[2024-05-15 10:40:10] | URL : http://127.0.0.1:9000/public/jampack/vendor/telescope/app.css | 404 | Duration : 0.22ms 
[2024-05-15 10:40:11] | URL : http://127.0.0.1:9000/public/jampack/vendor/telescope/app.js | 404 | Duration : 0.22ms 
[2024-05-15 10:40:12] | URL : http://127.0.0.1:9000/public/jampack/vendor/telescope/favicon.ico | 404 | Duration : 0.19ms 
[2024-05-15 10:40:24] | URL : http://127.0.0.1:9000/public/jampack/vendor/telescope/app.css | 404 | Duration : 0.22ms 
[2024-05-15 10:40:24] | URL : http://127.0.0.1:9000/telescope | 200 | Duration : 0.09ms 
[2024-05-15 10:40:25] | URL : http://127.0.0.1:9000/public/jampack/vendor/telescope/app.css | 404 | Duration : 0.20ms 
[2024-05-15 10:40:26] | URL : http://127.0.0.1:9000/public/jampack/vendor/telescope/app.js | 404 | Duration : 0.25ms 
[2024-05-15 10:44:03] | URL : http://127.0.0.1:9000/telescope | 200 | Duration : 4.25ms 
[2024-05-15 10:44:10] | URL : http://127.0.0.1:9000/dashboard | 200 | Duration : 6.00ms 
[2024-05-15 10:44:13] | URL : http://127.0.0.1:9000/public//vendor/telescope/app.css | 404 | Duration : 1.41ms 
[2024-05-15 10:44:14] | URL : http://127.0.0.1:9000/public//vendor/telescope/app.js | 404 | Duration : 0.26ms 
[2024-05-15 10:44:16] | URL : http://127.0.0.1:9000/public//vendors/daterangepicker/daterangepicker.css | 404 | Duration : 0.58ms 
[2024-05-15 10:44:17] | URL : http://127.0.0.1:9000/public//vendors/datatables.net-responsive-bs5/css/responsive.bootstrap5.min.css | 404 | Duration : 0.20ms 
[2024-05-15 10:44:18] | URL : http://127.0.0.1:9000/public//vendors/datatables.net-bs5/css/dataTables.bootstrap5.min.css | 404 | Duration : 0.24ms 
[2024-05-15 10:44:19] | URL : http://127.0.0.1:9000/public//dist/css/style.css | 404 | Duration : 0.23ms 
[2024-05-15 10:44:19] | URL : http://127.0.0.1:9000/public//vendors/sweetalert2/dist/sweetalert2.min.css | 404 | Duration : 0.21ms 
[2024-05-15 10:44:20] | URL : http://127.0.0.1:9000/public//vendors/select2/dist/css/select2.min.css | 404 | Duration : 0.21ms 
[2024-05-15 10:44:21] | URL : http://127.0.0.1:9000/public//vendors/leaflet/leaflet.css | 404 | Duration : 0.40ms 
[2024-05-15 10:44:22] | URL : http://127.0.0.1:9000/public//tooltip-dw.css | 404 | Duration : 0.26ms 
[2024-05-15 10:44:23] | URL : http://127.0.0.1:9000/public//loading.css | 404 | Duration : 0.22ms 
[2024-05-15 10:44:25] | URL : http://127.0.0.1:9000/public//custom.css | 404 | Duration : 0.25ms 
[2024-05-15 10:44:26] | URL : http://127.0.0.1:9000/public//clock.css | 404 | Duration : 0.43ms 
[2024-05-15 10:44:26] | URL : http://127.0.0.1:9000/public//vendors/izitoast/css/iziToast.min.css | 404 | Duration : 0.33ms 
[2024-05-15 10:44:29] | URL : http://127.0.0.1:9000/public/firebaseConfig.js | 404 | Duration : 1.33ms 
[2024-05-15 10:44:30] | URL : http://127.0.0.1:9000/public//vendor/telescope/favicon.ico | 404 | Duration : 0.54ms 
[2024-05-15 10:44:31] | URL : http://127.0.0.1:9000/public//dist/img/businessman.png | 404 | Duration : 0.45ms 
[2024-05-15 10:44:33] | URL : http://127.0.0.1:9000/public//dist/img/avatar3.jpg | 404 | Duration : 0.68ms 
[2024-05-15 10:44:34] | URL : http://127.0.0.1:9000/public//dist/img/avatar10.jpg | 404 | Duration : 0.60ms 
[2024-05-15 10:44:35] | URL : http://127.0.0.1:9000/public//vendors/jquery/dist/jquery.min.js | 404 | Duration : 0.36ms 
[2024-05-15 10:44:36] | URL : http://127.0.0.1:9000/public/uploads/logo/1712268893_faviconbapas.png | 404 | Duration : 0.48ms 
