[2024-05-14 14:51:47] | URL : http://localhost:81/hr-attedance/api/pengajuan/lembur/lists-opd | 302 | Duration : 0.11ms 
[2024-05-14 14:51:47] | URL : http://localhost:81/hr-attedance/login | 200 | Duration : 0.12ms 
[2024-05-14 14:51:48] | URL : http://localhost:81/hr-attedance/api/payroll-client | 302 | Duration : 0.11ms 
[2024-05-14 14:51:48] | URL : http://localhost:81/hr-attedance/login | 200 | Duration : 0.15ms 
[2024-05-14 14:51:50] | URL : http://localhost:81/hr-attedance/api/payroll-client/detail | 302 | Duration : 0.22ms 
[2024-05-14 14:51:50] | URL : http://localhost:81/hr-attedance/login | 200 | Duration : 0.13ms 
[2024-05-14 14:51:51] | URL : http://localhost:81/hr-attedance/api/logout | 302 | Duration : 0.17ms 
[2024-05-14 14:51:51] | URL : http://localhost:81/hr-attedance/login | 200 | Duration : 0.12ms 
[2024-05-14 14:51:52] | URL : http://localhost:81/hr-attedance/api/getUser | 401 | Duration : 0.11ms 
[2024-05-14 14:51:53] | URL : http://localhost:81/hr-attedance/api/login | 200 | Duration : 0.81ms 
[2024-05-14 14:51:53] | URL : http://localhost:81/hr-attedance/api/login | 200 | Duration : 0.89ms 
[2024-05-14 14:51:54] | URL : http://localhost:81/hr-attedance/api/register-face-recognition | 401 | Duration : 0.03ms 
[2024-05-14 14:51:54] | URL : http://localhost:81/hr-attedance/api/register-face-recognition | 401 | Duration : 0.29ms 
[2024-05-14 14:51:56] | URL : http://localhost:81/hr-attedance/api/whatsapp/send-otp | 500 | Duration : 0.91ms 
[2024-05-14 14:51:56] | URL : http://localhost:81/hr-attedance/api/whatsapp/send-otp | 500 | Duration : 1.10ms 
[2024-05-14 14:51:56] | URL : http://localhost:81/hr-attedance/api/whatsapp/check-no-wa | 200 | Duration : 0.02ms 
[2024-05-14 14:51:56] | URL : http://localhost:81/hr-attedance/api/whatsapp/check-no-wa | 200 | Duration : 0.28ms 
[2024-05-14 14:51:57] | URL : http://localhost:81/hr-attedance/api/whatsapp/save-otp | 404 | Duration : 0.14ms 
[2024-05-14 14:51:59] | URL : http://localhost:81/hr-attedance/api/whatsapp/similar-no-wa | 500 | Duration : 0.53ms 
[2024-05-14 14:51:59] | URL : http://localhost:81/hr-attedance/api/whatsapp/similar-no-wa | 500 | Duration : 0.73ms 
[2024-05-14 14:51:59] | URL : http://localhost:81/hr-attedance/api/whatsapp/new-password | 200 | Duration : 0.18ms 
[2024-05-14 14:51:59] | URL : http://localhost:81/hr-attedance/api/whatsapp/new-password | 200 | Duration : 0.32ms 
[2024-05-14 14:52:00] | URL : http://localhost:81/hr-attedance/api/pengumuman | 200 | Duration : 0.07ms 
[2024-05-14 14:52:00] | URL : http://localhost:81/hr-attedance/api/pengumuman | 200 | Duration : 0.37ms 
[2024-05-14 14:52:01] | URL : http://localhost:81/hr-attedance/api/pengumuman/detail/2 | 302 | Duration : 0.16ms 
[2024-05-14 14:52:02] | URL : http://localhost:81/hr-attedance/login | 200 | Duration : 0.18ms 
[2024-05-14 14:52:03] | URL : http://localhost:81/hr-attedance/api/pengumuman/count | 302 | Duration : 0.26ms 
[2024-05-14 14:52:03] | URL : http://localhost:81/hr-attedance/login | 200 | Duration : 0.32ms 
[2024-05-14 14:52:05] | URL : http://localhost:81/hr-attedance/api/home-user | 200 | Duration : 0.44ms 
[2024-05-14 14:52:05] | URL : http://localhost:81/hr-attedance/api/home-user | 200 | Duration : 0.89ms 
[2024-05-14 14:52:06] | URL : http://localhost:81/hr-attedance/api/riwayat-presensi/001000 | 200 | Duration : 0.03ms 
[2024-05-14 14:52:06] | URL : http://localhost:81/hr-attedance/api/riwayat-presensi/001000 | 200 | Duration : 0.27ms 
[2024-05-14 14:52:36] | URL : http://localhost:81/hr-attedance/api/total-presensi/66 | 302 | Duration : 0.16ms 
[2024-05-14 14:52:37] | URL : http://localhost:81/hr-attedance/login | 200 | Duration : 0.48ms 
[2024-05-14 15:02:33] | URL : http://localhost:81/hr-attedance/api/visit/lokasi | 200 | Duration : 0.04ms 
[2024-05-14 15:02:33] | URL : http://localhost:81/hr-attedance/api/visit/lokasi | 200 | Duration : 0.69ms 
[2024-05-14 15:02:34] | URL : http://localhost:81/hr-attedance/api/visit | 200 | Duration : 0.16ms 
[2024-05-14 15:02:34] | URL : http://localhost:81/hr-attedance/api/visit | 200 | Duration : 0.34ms 
[2024-05-14 15:02:36] | URL : http://localhost:81/hr-attedance/api/visit/store | 200 | Duration : 0.02ms 
[2024-05-14 15:02:36] | URL : http://localhost:81/hr-attedance/api/visit/store | 200 | Duration : 0.17ms 
[2024-05-14 15:02:37] | URL : http://localhost:81/hr-attedance/api/visit/check-out | 200 | Duration : 0.07ms 
[2024-05-14 15:02:37] | URL : http://localhost:81/hr-attedance/api/visit/check-out | 200 | Duration : 0.27ms 
[2024-05-14 15:02:37] | URL : http://localhost:81/hr-attedance/api/list-lokasi-visit | 200 | Duration : 0.07ms 
[2024-05-14 15:02:37] | URL : http://localhost:81/hr-attedance/api/list-lokasi-visit | 200 | Duration : 0.17ms 
[2024-05-14 15:03:03] | URL : http://localhost:81/hr-attedance/api/login | 200 | Duration : 0.73ms 
[2024-05-14 15:03:03] | URL : http://localhost:81/hr-attedance/api/login | 200 | Duration : 0.83ms 
[2024-05-14 15:03:18] | URL : http://localhost:81/hr-attedance/api/presensi/lokasi | 200 | Duration : 0.06ms 
[2024-05-14 15:03:18] | URL : http://localhost:81/hr-attedance/api/presensi/lokasi | 200 | Duration : 0.48ms 
